id,meta.status,meta.reviewedBy,meta.changelog,meta.parentId,meta.localId,label.shortForm.de,label.shortForm.en,label.longForm.de,label.longForm.en,description.de,head,links.homepage.de,links.homepage.en,headLiteral,partOf,peopleCount.uniqueProfessors.physicist.female,peopleCount.uniqueProfessors.physicist.male,peopleCount.uniqueProfessors.physicist.other,peopleCount.uniqueProfessors.engineer.female,peopleCount.uniqueProfessors.engineer.male,peopleCount.uniqueProfessors.engineer.other,peopleCount.uniqueProfessors.other.female,peopleCount.uniqueProfessors.other.male,peopleCount.uniqueProfessors.other.other,peopleCount.uniqueSeniorResearchers.physicist.female,peopleCount.uniqueSeniorResearchers.physicist.male,peopleCount.uniqueSeniorResearchers.physicist.other,peopleCount.uniqueSeniorResearchers.engineer.female,peopleCount.uniqueSeniorResearchers.engineer.male,peopleCount.uniqueSeniorResearchers.engineer.other,peopleCount.uniqueSeniorResearchers.other.female,peopleCount.uniqueSeniorResearchers.other.male,peopleCount.uniqueSeniorResearchers.other.other,peopleCount.uniquePostDocs.physicist.female,peopleCount.uniquePostDocs.physicist.male,peopleCount.uniquePostDocs.physicist.other,peopleCount.uniquePostDocs.engineer.female,peopleCount.uniquePostDocs.engineer.male,peopleCount.uniquePostDocs.engineer.other,peopleCount.uniquePostDocs.other.female,peopleCount.uniquePostDocs.other.male,peopleCount.uniquePostDocs.other.other,peopleCount.uniquePhdStudents.physicist.female,peopleCount.uniquePhdStudents.physicist.male,peopleCount.uniquePhdStudents.physicist.other,peopleCount.uniquePhdStudents.engineer.male,peopleCount.uniquePhdStudents.engineer.other,peopleCount.uniquePhdStudents.other.female,peopleCount.uniquePhdStudents.other.male,peopleCount.uniquePhdStudents.other.other,peopleCount.uniqueMasterStudents.physicist.female,peopleCount.uniqueMasterStudents.physicist.male,peopleCount.uniqueMasterStudents.physicist.other,peopleCount.uniqueMasterStudents.engineer.female,peopleCount.uniqueMasterStudents.engineer.male,peopleCount.uniqueMasterStudents.engineer.other,peopleCount.uniqueMasterStudents.other.female,peopleCount.uniqueMasterStudents.other.male,peopleCount.uniqueMasterStudents.other.other,peopleCount.uniqueBachelorStudents.physicist.female,peopleCount.uniqueBachelorStudents.physicist.male,peopleCount.uniqueBachelorStudents.physicist.other,peopleCount.uniqueBachelorStudents.engineer.female,peopleCount.uniqueBachelorStudents.engineer.male,peopleCount.uniqueBachelorStudents.engineer.other,peopleCount.uniqueBachelorStudents.other.female,peopleCount.uniqueBachelorStudents.other.male,peopleCount.uniqueBachelorStudents.other.other
/desy/z-beschleunigerphysik/pitz,02 ready for review,leemans.wim,,/desy/z-beschleunigerphysik,pitz,DESY-ZPITZ,DESY-ZPITZ,PITZ,PITZ,,,https://pitz.desy.de/,https://pitz.desy.de/,Frank Stephan,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aco/app,01 in preparation,aßmann.ralph,,/gsi/acc/aco,app,ACC/ACO/APP,ACC/ACO/APP,Gruppe Applikationen,Applications Group,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ap,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ap,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aco/fec,01 in preparation,aßmann.ralph,,/gsi/acc/aco,fec,ACC/ACO/FEC,ACC/ACO/FEC,Gruppe Front-End Control,Front-End Control Group,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/fe,,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aco/hel,01 in preparation,aßmann.ralph,,/gsi/acc/aco,hel,ACC/ACO/HEL,ACC/ACO/HEL,Gruppe Hardware und Elektronik ,Group Electronics,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/hw,https://www.gsi.de/en/work/project_management_fair/commons/control-systems/hel-group,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aco/ind,01 in preparation,aßmann.ralph,,/gsi/acc/aco,ind,ACC/ACO/IND,ACC/ACO/IND,Gruppe Industrielle Steuerung ,Industrial Controls Group,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ind,https://www.gsi.de/en/work/project_management_fair/commons/control-systems/ind-group,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aco/inn,01 in preparation,aßmann.ralph,,/gsi/acc/aco,inn,ACC/ACO/INN,ACC/ACO/INN,Gruppe Netzwerke und Infrastruktur,Networks and IT-Infrastructure Group,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/in,https://www.gsi.de/en/work/project_management_fair/commons/control_systems/in,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aco/ser,01 in preparation,aßmann.ralph,,/gsi/acc/aco,ser,ACC/ACO/TOS,ACC/ACO/TOS,Gruppe System Services,System Services Group,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/software-services-group-ser,https://www.gsi.de/en/work/project_management_fair/commons/control-systems/ser-group,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aco/tos,01 in preparation,aßmann.ralph,,/gsi/acc/aco,tos,ACC/ACO/TOS,ACC/ACO/TOS,Gruppe Timing,Timing Group,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/tg,https://www.gsi.de/en/work/gesamtprojektleitung_fair/commons/control_systems/tg,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aph,01 in preparation,aßmann.ralph,,/gsi/acc,aph,ACC/APH,ACC/APH,Abteilung Beschleunigerphysik,Department Accelerator physics,,boine-frankenheim.oliver,https://www.gsi.de/work/gesamtprojektleitung_fair/beschleunigerphysik,https://www.gsi.de/en/work/project_management_fair/accelerator_physics,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aph/ecr,01 in preparation,aßmann.ralph,,/gsi/acc/aph,ecr,ACC/IOS/ECR,ACC/IOS/ECR,ECR-Gruppe,Translated with DeepL.com (free version),,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
