"id","meta.status","meta.changelog","meta.id","meta.parent","meta.parentId","meta.localId","label.long-form.de","label.longForm.en","label.shortForm.de","description.de","meta.reviewedBy","meta.organizationalLevel","meta.befideOrganizationCategories","links.homepage.de","links.homepage.en","head","headLiteral","peopleCount.uniqueProfessors","peopleCount.uniqueSeniorResearchers","peopleCount.uniquePostDocs","peopleCount.uniquePhdStudents","peopleCount.uniqueWorkingStudents_MSC","peopleCount.uniqueWorkingStudents_BSC"
"root.gsi.acc.dec","01 in preparation",,"root.gsi.acc.dec","root.gsi.acc","root.gsi.acc","dec","Abteilung Decceleratoren ","Department Decelerators","ACC/DEC",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/deceleratoren","https://www.gsi.de/en/work/accelerator_operations/departments/decelerators",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.eps","01 in preparation",,"root.gsi.acc.eps","root.gsi.acc","root.gsi.acc","eps","Abteilung Elektrische Energiesysteme","Department Electric power systems","ACC/EPS",,"aßmann.ralph","05 work group","hgf",,,,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.lin","01 in preparation",,"root.gsi.acc.lin","root.gsi.acc","root.gsi.acc","lin","Abteilung Linac","Department Linac","ACC/LIN",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.lrf","01 in preparation",,"root.gsi.acc.lrf","root.gsi.acc","root.gsi.acc","lrf","Abteilung UNILAC RF","Department UNILAC RF","ACC/LRF",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.ncm","01 in preparation",,"root.gsi.acc.ncm","root.gsi.acc","root.gsi.acc","ncm","Abteilung NC Magnete & Alignment","Department NC Magnets & Alignment","ACC/NCM",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/engineering/nc_magnets_alignment","https://www.gsi.de/en/work/project_management_fair/commons/engineering/nc_magnets_and_alignment",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.ope","01 in preparation",,"root.gsi.acc.ope","root.gsi.acc","root.gsi.acc","ope","Abteilung Betrieb","Department Operation","ACC/OPE",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter","ralph.hollinger",,"-1","-1","-1","-1","-1","-1"
"root.him.acid","01 in preparation",,"root.him.acid","root.him","root.him","acid","Accelerator Design and Integrated Detectors","Accelerator Design and Integrated Detectors","HIM/ACID",,"aulenbacher.kurt","05 work group",,"https://www.hi-mainz.de/research/research-sections/acid-accelerator-integrated-detector","https://www.hi-mainz.de/research/research-sections/acid-accelerator-integrated-detector","aulenbacher.kurt",,"-1","-1","-1","-1","-1","-1"
"root.hzb.be.ahbb","01 in preparation",,"root.hzb.be.ahbb","root.hzb.be","root.hzb.be","ahbb","Hochbrillante Elektonenstrahlen","High Brightness Beams","HBB","High Brightness Beams","jankowiak.andreas","05 work group","hgf","https://www.helmholtz-berlin.de/forschung/oe/be/high-brightness-beams/index_en.html","https://www.helmholtz-berlin.de/forschung/oe/be/high-brightness-beams/index_en.html","kamps.thorsten",,"1","1","1","5","0","0"
"root.hzb.be.apt","01 in preparation",,"root.hzb.be.apt","root.hzb.be","root.hzb.be","apt","Protonentherapie","Protons for Therapy","PT","Protons for Therapy","jankowiak.andreas","05 work group","hgf","https://www.helmholtz-berlin.de/forschung/oe/be/protonentherapie/index_en.html","https://www.helmholtz-berlin.de/forschung/oe/be/protonentherapie/index_en.html",,"Prof. Dr. Andrea Denker","1","2","0","1","0","0"
"root.hzb.be.ia.aot","01 in preparation",,"root.hzb.be.ia.aot","root.hzb.be.ia","root.hzb.be.ia","aot","Beschleunigerbetrieb und -technologie","Accelerator Operation and Technology","AOT","Accelerator Operation and Technology","jankowiak.andreas","05 work group","hgf","https://www.helmholtz-berlin.de/forschung/oe/be/operation-accelerator/index_en.html","https://www.helmholtz-berlin.de/forschung/oe/be/operation-accelerator/index_en.html",,"Dr. Andreas Schälicke","0","0","0","0","0","0"
"root.hzb.be.ia.ard","01 in preparation",,"root.hzb.be.ia.ard","root.hzb.be.ia","root.hzb.be.ia","ard","Beschleunigerforschung und -entwicklung","Accelerator Operation and Technology","ARD","Accelerator Operation and Technology","jankowiak.andreas","05 work group","hgf","https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html","https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html","jankowiak.andreas",,"0","0","0","0","0","0"
"root.hzb.be.ia.hp","01 in preparation",,"root.hzb.be.ia.hp","root.hzb.be.ia","root.hzb.be.ia","hp","Hochbrillante Photonenstrahlen","High Brightness Photon Beams","HBPB",,"jankowiak.andreas","05 work group","hgf","https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/gia-hbpb/index_en.html","https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/gia-hbpb/index_en.html","meseck.atoosa","Prof. Dr. Atoosa Meseck","-1","-1","-1","-1","-1","-1"
"root.hzb.be.ia.srbp","01 in preparation",,"root.hzb.be.ia.srbp","root.hzb.be.ia","root.hzb.be.ia","srbp","Speicherringe und Strahlphysik","Storage Rings and Beam Physics","SRBP","Storage Rings and Beam Physics","jankowiak.andreas","05 work group","hgf",,,,"Dr. Markus Ries","0","1","0","0","0","0"
"root.hzb.be.ias","01 in preparation",,"root.hzb.be.ias","root.hzb.be","root.hzb.be","ias","Wissenschaft und Technologie von Beschleunigungssystemen","Science and Technology of Accelerating Systems","IAS","Science and Technology of Accelerating Systems","jankowiak.andreas","05 work group","hgf","https://www.helmholtz-berlin.de/forschung/oe/be/science-technology-accelerating-systems/index_de.html","https://www.helmholtz-berlin.de/forschung/oe/be/science-technology-accelerating-systems/index_de.html","knobloch.jens",,"2","1","2","5","0","0"
"root.hzb.wi.aund","01 in preparation",,"root.hzb.wi.aund","root.hzb.wi","root.hzb.wi","aund","Undulatoren","Undulators","UND","Undulators","jankowiak.andreas","05 work group","hgf","https://www.helmholtz-berlin.de/forschung/oe/wi/undulators/index_en.html","https://www.helmholtz-berlin.de/forschung/oe/wi/undulators/index_en.html","meseck.atoosa","Prof. Dr. Atoosa Meseck","1","1","2","0","0","0"
"root.hzdr.ionenstrahlphysik-materialforschung.bmi","01 in preparation",,"root.hzdr.ionenstrahlphysik-materialforschung.bmi","root.hzdr.ionenstrahlphysik-materialforschung","root.hzdr.ionenstrahlphysik-materialforschung","bmi","Beschleuniger-Massenspektrometrie und Isotopenforschung",,"BMI",,"helm.manfred","05 work group","hgf","https://www.hzdr.de/db/Cms?pNid=1061","https://www.hzdr.de/db/Cms?pNid=1061",,"Prof. Dr. Anton Wallner","0","0","0","0","0","0"
"root.hzdr.ionenstrahlphysik-materialforschung.ionenstrahlzentrum","01 in preparation",,"root.hzdr.ionenstrahlphysik-materialforschung.ionenstrahlzentrum","root.hzdr.ionenstrahlphysik-materialforschung","root.hzdr.ionenstrahlphysik-materialforschung","ionenstrahlzentrum","Ionen­strahl­zentrum",,,,"helm.manfred","05 work group","hgf","https://www.hzdr.de/db/Cms?pNid=2689","https://www.hzdr.de/db/Cms?pNid=2689",,,"0","0","0","0","0","0"
